"Año;Mes;Fecha;Precio;Mineral;Unidad de medida;Numero Índice"
"2007;3;2007M03;2761,73;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);148,98312582267"
"2007;4;2007M04;2814,79;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);151,84547828151"
"2007;5;2007M05;2792,75;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);150,656517704939"
"2007;6;2007M06;2676,93;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);144,408540664178"
"2007;7;2007M07;2732,44;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);147,403059793281"
"2007;8;2007M08;2515,77;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);135,714671039855"
"2007;9;2007M09;2391,25;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);128,997367455711"
"2007;10;2007M10;2442,37;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);131,755065489934"
"2007;11;2007M11;2506,89;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);135,235634292126"
"2007;12;2007M12;2381,69;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);128,481647713786"
"2008;1;2008M01;2445,52;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);131,924994065986"
"2008;2;2008M02;2776,93;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);149,803098634098"
"2008;3;2008M03;3005,29;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);162,122111214207"
"2008;4;2008M04;2959,27;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);159,63953563645"
"2008;5;2008M05;2902,9;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);156,598623308806"
"2008;6;2008M06;2957,86;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);159,563472369074"
"2008;7;2008M07;3071,24;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);165,679822195369"
"2008;8;2008M08;2764,38;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);149,126081608873"
"2008;9;2008M09;2525,82;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);136,256824115832"
"2008;10;2008M10;2121,41;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);114,440692229679"
"2008;11;2008M11;1852,43;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);99,930410202188"
"2008;12;2008M12;1490,43;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,4021103510778"
"2009;1;2009M01;1413,12;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,2315775845327"
"2009;2;2009M02;1330,2;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);71,7584101158751"
"2009;3;2009M03;1335,84;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);72,0626631853786"
"2009;4;2009M04;1420,85;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,6485769156075"
"2009;5;2009M05;1460,45;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,7848218716958"
"2009;6;2009M06;1573,73;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,8957771400211"
"2009;7;2009M07;1667,96;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);89,9790691150767"
"2009;8;2009M08;1933,75;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);104,317264743327"
"2009;9;2009M09;1834,11;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);98,9421271820987"
"2009;10;2009M10;1878,57;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);101,340547655525"
"2009;11;2009M11;1949,29;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);105,155579051852"
"2009;12;2009M12;2180,1;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);117,606758302225"
"2010;1;2010M01;2235,15;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);120,576462464666"
"2010;2;2010M02;2048,93;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);110,530716613081"
"2010;3;2010M03;2205,63;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);118,983988951945"
"2010;4;2010M04;2316,73;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);124,977342856526"
"2010;5;2010M05;2040,53;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);110,077573743607"
"2010;6;2010M06;1931,39;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);104,189953175237"
"2010;7;2010M07;1988,27;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);107,258377748527"
"2010;8;2010M08;2118,14;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);114,264290184062"
"2010;9;2010M09;2162,34;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);116,648684806767"
"2010;10;2010M10;2346,57;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);126,58707895475"
"2010;11;2010M11;2333,07;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);125,858813628811"
"2010;12;2010M12;2350,67;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);126,808255831517"
"2011;1;2011M01;2439,53;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);131,601860043588"
"2011;2;2011M02;2508,18;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);135,305224089938"
"2011;3;2011M03;2555,5;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);137,857928921304"
"2011;4;2011M04;2678,11;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);144,472196448223"
"2011;5;2011M05;2596,45;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);140,067000409986"
